COMPASS_1_1.A1ModJulian	COMPASS_1_3.Hellas_Planitia_GS.X	COMPASS_1_3.Hellas_Planitia_GS.Y	COMPASS_1_3.Hellas_Planitia_GS.Z	COMPASS_1_3.Valles_Marineris_GS.X	COMPASS_1_3.Valles_Marineris_GS.Y	COMPASS_1_3.Valles_Marineris_GS.Z	COMPASS_1_3.Schiaparelli_Crater_GS.X	COMPASS_1_3.Schiaparelli_Crater_GS.Y	COMPASS_1_3.Schiaparelli_Crater_GS.Z	COMPASS_1_3.Mawrth_Vallis_GS.X	COMPASS_1_3.Mawrth_Vallis_GS.Y	COMPASS_1_3.Mawrth_Vallis_GS.Z	COMPASS_1_3.Arcadia_Planitia_GS.X	COMPASS_1_3.Arcadia_Planitia_GS.Y	COMPASS_1_3.Arcadia_Planitia_GS.Z
30988.50043	19757.34763	13331.22139	-3264.985941	15145.67752	-18383.82844	-3824.022591	15450.95591	-2862.77259	-21295.6799	7742.763371	-13178.36999	-21654.85848	22778.99096	6793.40181	-2304.261204
30988.50112	19763.75933	13321.33381	-3230.130031	15173.94798	-18360.6078	-3820.099471	15478.3202	-2851.477755	-21273.82971	7772.777714	-13157.23072	-21657.32408	22785.13406	6777.964209	-2337.090329
30988.503	19781.02692	13294.2198	-3137.331195	15249.17507	-18298.47487	-3808.903584	15551.29176	-2821.981459	-21215.0923	7853.142681	-13101.09192	-21663.22911	22801.0935	6737.305139	-2425.051111
30988.50839	19830.55586	13212.75392	-2880.146925	15457.4071	-18123.84027	-3771.812658	15754.54187	-2744.885426	-21047.82261	8079.580797	-12946.70362	-21674.34611	22842.22173	6628.21258	-2673.326841
30988.52289	19963.00691	12972.76446	-2262.699506	15956.66344	-17688.47409	-3639.227126	16250.98315	-2593.440736	-20615.3991	8650.488914	-12585.66238	-21664.71903	22920.41954	6392.637181	-3301.63319
30988.5432	20147.01788	12606.70361	-1586.488891	16506.54308	-17178.51701	-3388.832363	16820.00489	-2509.897743	-20072.85305	9344.121085	-12217.68417	-21572.04847	22963.51672	6200.502992	-4067.36713
30988.5643	20333.44503	12226.88606	-1122.767139	16894.76577	-16794.10896	-3079.69177	17250.58387	-2561.677533	-19619.00846	9912.869801	-12007.45469	-21409.62072	22948.1176	6158.141769	-4693.484297
30988.5855	20507.76384	11887.8958	-899.8685972	17102.09244	-16573.80201	-2758.030914	17515.26155	-2725.368181	-19305.74132	10307.00046	-11965.39605	-21214.99981	22894.16681	6253.53327	-5121.240045
30988.6067	20655.77322	11631.34777	-910.201569	17133.93505	-16527.12257	-2467.105634	17609.94798	-2964.112717	-19157.86987	10504.6662	-12075.9005	-21023.8259	22821.6805	6455.961684	-5325.198159
30988.6279	20759.28518	11492.55252	-1135.978672	16999.62092	-16651.61399	-2249.354055	17534.01531	-3236.55317	-19188.9275	10490.29399	-12313.22831	-20867.54699	22746.07814	6727.930181	-5289.539124
30988.6491	20796.5062	11499.76864	-1552.451875	16710.03603	-16934.65615	-2144.878538	17288.42862	-3499.397424	-19402.20544	10253.13424	-12644.14843	-20771.97226	22677.16882	7027.872376	-5006.389708
30988.67031	20743.18312	11672.80082	-2129.403314	16276.92682	-17354.29154	-2189.364495	16875.57376	-3709.758271	-19790.73553	9787.673593	-13029.8242	-20755.93989	22618.64685	7312.431368	-4476.052262
30988.69151	20574.00748	12021.92319	-2832.717504	15712.36829	-17880.42437	-2412.110056	16299.23861	-3827.490151	-20337.66759	9094.035765	-13427.93109	-20830.33846	22567.96756	7538.82271	-3707.068356
30988.71271	20264.14462	12547.30568	-3626.098922	15028.30343	-18476.4515	-2834.36916	15564.612	-3817.383321	-21017.16551	8178.168413	-13794.96123	-20997.58585	22516.61527	7667.169591	-2715.91456
30988.73392	19790.75718	13239.0438	-4472.921963	14236.10304	-19101.29636	-3468.162506	14678.21463	-3651.076983	-21795.84931	7051.695976	-14088.61564	-21251.62028	22450.743	7662.679928	-1526.230887
30988.75512	19134.58893	14077.56235	-5337.827467	13346.43097	-19711.52127	-4315.417387	13648.05635	-3308.634475	-22634.4426	5731.816643	-14270.04774	-21578.31984	22352.16749	7497.539799	-168.0176248
30988.77632	18281.17978	15034.86231	-6188.587097	12368.85048	-20263.84768	-5367.935445	12483.37243	-2779.577073	-23490.0897	4240.440445	-14306.04524	-21956.50439	22199.61236	7152.417419	1324.007782
30988.79753	17222.21546	16075.77348	-6997.26324	11312.04707	-20717.32015	-6607.446577	11194.92444	-2063.570861	-24318.3985	2603.852794	-14170.78621	-22359.17603	21970.2176	6617.575247	2911.515416
30988.81873	15956.21009	17160.06004	-7741.561586	10183.66521	-21035.66611	-8006.673944	9794.705535	-1170.358427	-25076.01685	851.4630524	-13847.2756	-22755.27963	21641.11382	5893.352862	4554.567341
30988.83993	14489.18253	18244.43812	-8405.507466	8990.633399	-21189.18592	-9530.477268	8296.082237	-119.3385763	-25722.82076	-984.9943479	-13328.28194	-23111.56547	21191.09447	4990.227292	6213.095784
30988.86114	12834.78339	19284.95971	-8979.922218	7739.372756	-21156.40144	-11137.63188	6713.668534	1061.489869	-26224.10415	-2872.651184	-12616.75081	-23394.67164	20602.20035	3928.249836	7848.663444
30988.88234	11014.1152	20239.3649	-9462.445104	6436.150866	-20925.23046	-12782.84401	5063.26676	2337.002861	-26552.41931	-4778.605597	-11725.67666	-23573.20703	19861.17739	2735.999835	9425.995108
30988.90354	9055.129142	21069.3776	-9857.180553	5087.44278	-20493.65631	-14419.02671	3361.734082	3666.846528	-26689.04263	-6671.04827	-10677.41257	-23619.75487	18960.69079	1449.046496	10914.36285
30988.92475	6991.49204	21742.82424	-10173.99156	3700.192516	-19869.77984	-15999.78998	1626.676279	5007.727898	-26624.9392	-8520.448926	-9502.362319	-23512.64839	17900.13465	107.9153734	12288.80298
30988.94595	4861.810904	22235.19136	-10427.36517	2282.50526	-19071.50983	-17481.37466	-123.3296823	6315.431863	-26361.20681	-10300.00782	-8237.606291	-23237.46184	16686.41472	-1243.784029	13530.55898
30988.96715	2707.662596	22531.11267	-10635.18321	843.6517798	-18125.4725	-18825.18518	-1869.35249	7547.507282	-25908.98207	-11986.81577	-6924.647259	-22788.09539	15333.87267	-2562.00816	14627.841
30988.98835	572.278651	22625.09094	-10817.17723	-605.4373756	-17065.68953	-19999.41642	-3592.052163	8665.329295	-25288.82232	-13562.06661	-5607.376334	-22167.45022	13864.22622	-3804.425649	15575.65767
30989.00955	-1501.311983	22521.83067	-10993.35317	-2052.072632	-15931.71786	-20980.65719	-5272.028741	9636.24671	-24529.56161	-15011.45232	-4329.652378	-21387.5904	12305.87563	-4932.763549	16375.58004
