COMPASS_1_1.A1ModJulian,COMPASS_2_3.Hellas_Planitia_GS.X,COMPASS_2_3.Hellas_Planitia_GS.Y,COMPASS_2_3.Hellas_Planitia_GS.Z,COMPASS_2_3.Valles_Marineris_GS.X,COMPASS_2_3.Valles_Marineris_GS.Y,COMPASS_2_3.Valles_Marineris_GS.Z,COMPASS_2_3.Schiaparelli_Crater_GS.X,COMPASS_2_3.Schiaparelli_Crater_GS.Y,COMPASS_2_3.Schiaparelli_Crater_GS.Z,COMPASS_2_3.Mawrth_Vallis_GS.X,COMPASS_2_3.Mawrth_Vallis_GS.Y,COMPASS_2_3.Mawrth_Vallis_GS.Z,COMPASS_2_3.Arcadia_Planitia_GS.X,COMPASS_2_3.Arcadia_Planitia_GS.Y,COMPASS_2_3.Arcadia_Planitia_GS.Z
30988.50043,22127.33548,-8527.27059,-5818.142928,10213.19692,-9577.301351,15874.8312,14713.42501,-18583.64271,-5731.637504,16717.5568,-16867.77804,-1760.877584,9058.976459,18801.64004,-14853.86445
30988.50112,22137.31594,-8510.127321,-5787.119262,10246.34413,-9573.020864,15859.37451,14741.99528,-18560.60902,-5734.663686,16736.45844,-16851.62042,-1788.036902,9084.945855,18780.08554,-14868.59411
30988.503,22163.51121,-8464.858292,-5703.902728,10334.75108,-9560.824896,15818.19274,14818.17009,-18498.93135,-5741.993865,16787.06944,-16807.8956,-1860.05867,9153.720228,18722.19952,-14908.34034
30988.50839,22233.16081,-8342.440977,-5468.275791,10581.07422,-9520.606596,15703.89263,15030.23422,-18325.21639,-5756.452036,16929.72738,-16681.07282,-2057.344793,9341.409,18557.81119,-15022.82405
30988.52289,22380.88211,-8071.071078,-4866.846825,11182.64112,-9378.656405,15429.76232,15547.32307,-17889.61661,-5749.243442,17290.70898,-16337.3404,-2514.203973,9771.758507,18136.12561,-15329.68002
30988.5432,22502.43301,-7831.101631,-4122.512038,11869.29018,-9116.370458,15136.31151,16137.48604,-17373.56706,-5640.639795,17736.02296,-15871.23282,-2973.369969,10196.87346,17614.8675,-15746.76693
30988.5643,22543.52132,-7745.502569,-3501.156209,12381.32535,-8801.198796,14953.04852,16580.2952,-16977.4486,-5435.435671,18114.6583,-15442.21703,-3233.522336,10432.15757,17188.51287,-16144.21079
30988.5855,22519.78105,-7807.791765,-3063.745516,12683.8168,-8483.323555,14896.2514,16847.67217,-16742.11493,-5172.948951,18396.45775,-15105.60035,-3288.748587,10478.29234,16905.10796,-16480.84844
30988.6067,22451.05357,-7990.610338,-2839.496373,12772.69706,-8206.896551,14960.45564,16936.3865,-16679.58743,-4896.084628,18565.23466,-14896.04422,-3162.121746,10360.59692,16785.56336,-16726.38999
30988.6279,22353.89843,-8258.846344,-2848.188381,12650.56407,-8012.513224,15130.05483,16847.24266,-16789.91995,-4648.40472,18605.29733,-14838.98142,-2885.347384,10109.59726,16839.28355,-16851.204
30988.6491,22240.25589,-8572.37215,-3101.543199,12324.24562,-7935.829586,15381.12774,16583.06158,-17062.89947,-4472.074742,18500.82493,-14950.74593,-2495.480826,9757.914259,17065.36676,-16826.56318
30988.67031,22116.80807,-8888.260712,-3602.786084,11804.27738,-8005.734058,15682.81595,16148.403,-17478.7452,-4405.63965,18236.62503,-15237.83807,-2032.829885,9338.426479,17452.80793,-16626.09193
30988.69151,21984.69838,-9163.125406,-4346.396737,11104.43621,-8242.775355,15999.03443,15549.42809,-18009.18922,-4481.91931,17799.06314,-15696.57323,-1538.803552,8882.553915,17981.10122,-16227.28523
30988.71271,21839.61123,-9355.486656,-5318.259978,10241.19068,-8658.029831,16290.48283,14793.76923,-18619.00708,-4726.200174,17176.99468,-16313.26885,-1053.737955,8418.679277,18621.34584,-15612.89249
