D1.A1ModJulian	D1.Hellas_Planitia_GS.X	D1.Hellas_Planitia_GS.Y	D1.Hellas_Planitia_GS.Z	D1.Valles_Marineris_GS.X	D1.Valles_Marineris_GS.Y	D1.Valles_Marineris_GS.Z	D1.Schiaparelli_Crater_GS.X	D1.Schiaparelli_Crater_GS.Y	D1.Schiaparelli_Crater_GS.Z	D1.Mawrth_Vallis_GS.X	D1.Mawrth_Vallis_GS.Y	D1.Mawrth_Vallis_GS.Z	D1.Arcadia_Planitia_GS.X	D1.Arcadia_Planitia_GS.Y	D1.Arcadia_Planitia_GS.Z
30988.50043	10012.47826	3417.289076	3801.938661	12370.7502	-3100.804351	-2438.77553	12384.39014	808.2038418	-6452.834392	9715.911862	-1467.269191	-11548.09048	10978.87151	-7.015501064	-9900.409037
30988.50112	10060.85597	3340.003688	3770.658993	12361.45068	-3106.351269	-2342.991383	12397.2436	717.5196635	-6422.78409	9760.468081	-1523.808106	-11483.98162	10952.93243	75.23942712	-9943.457185
30988.50296	10187.16995	3137.491379	3683.177484	12332.6374	-3124.044478	-2091.046518	12426.95527	476.8761764	-6346.446689	9873.486717	-1675.702912	-11314.35194	10883.3274	294.200057	-10052.2269
30988.50752	10492.99214	2642.746516	3434.376462	12234.04918	-3187.403885	-1469.38134	12474.3911	-130.289071	-6175.26886	10125.93388	-2070.659306	-10889.52078	10702.94758	850.9715688	-10292.37321
30988.5153	10981.35242	1838.30712	2912.311303	11979.52111	-3358.089888	-437.7553029	12467.54444	-1182.263173	-5948.389725	10457.38664	-2793.072655	-10163.96681	10375.30294	1829.671892	-10597.27516
30988.52357	11448.92765	1046.760352	2228.737204	11592.80884	-3623.793203	607.3771291	12339.34889	-2310.907785	-5799.481445	10669.24298	-3619.807359	-9399.72009	10003.18499	2898.734684	-10773.5687
30988.5319	11857.66403	327.7644299	1417.490644	11087.96102	-3973.825454	1589.59281	12085.72112	-3440.092023	-5746.97005	10732.66261	-4499.623944	-8648.692616	9608.442381	3987.715391	-10794.56479
30988.54023	12195.88842	-303.5817457	495.1805729	10473.33123	-4399.330987	2486.713124	11709.38173	-4544.663068	-5791.027656	10643.98845	-5412.261918	-7925.589288	9197.107213	5072.112747	-10658.42018
30988.54857	12454.95982	-839.1491003	-522.7883267	9756.824766	-4890.191367	3284.137501	11214.27235	-5605.959405	-5927.877394	10403.69996	-6340.469337	-7239.365204	8772.331242	6132.930856	-10367.8322
30988.5569	12626.97281	-1273.814026	-1620.047677	8946.916239	-5434.497964	3969.906161	10605.40604	-6606.926777	-6151.140209	10014.60138	-7266.81466	-6596.724727	8335.980465	7152.196423	-9928.291697
30988.56525	12704.69823	-1605.108094	-2779.323274	8052.640733	-6018.742005	4534.394539	9888.798094	-7531.913074	-6452.122448	9481.602215	-8173.685642	-6002.406779	7888.816428	8112.819397	-9347.805061
30988.57359	12681.74694	-1833.077454	-3982.240724	7083.871372	-6627.863561	4970.24318	9071.722446	-8366.559878	-6819.898578	8811.889515	-9043.256518	-5459.41638	7430.751942	8998.507424	-8637.002115
30988.58194	12552.819	-1960.456188	-5210.389126	6050.636468	-7245.959676	5272.863535	8162.193046	-9098.671503	-7241.757668	8014.503698	-9858.439651	-4968.653125	6960.653093	9794.705064	-7808.586371
30988.5903	12313.92005	-1992.434905	-6444.887807	4963.62878	-7856.26437	5440.269639	7169.420466	-9717.940242	-7703.267334	7100.657155	-10602.71223	-4529.306842	6476.750208	10488.34384	-6877.573165
