MSC.A1ModJulian,D4.Hellas_Planitia_GS.X,D4.Hellas_Planitia_GS.Y,D4.Hellas_Planitia_GS.Z,D4.Valles_Marineris_GS.X,D4.Valles_Marineris_GS.Y,D4.Valles_Marineris_GS.Z,D4.Schiaparelli_Crater_GS.X,D4.Schiaparelli_Crater_GS.Y,D4.Schiaparelli_Crater_GS.Z,D4.Mawrth_Vallis_GS.X,D4.Mawrth_Vallis_GS.Y,D4.Mawrth_Vallis_GS.Z,D4.Arcadia_Planitia_GS.X,D4.Arcadia_Planitia_GS.Y,D4.Arcadia_Planitia_GS.Z
30988.50043,6046.895099,118.6056696,7873.647024,12294.8148,3463.59126,-2736.961787,11951.21811,3445.001204,-449.0328763,10960.25708,4183.234296,-8432.101666,6960.180163,-3874.500745,-13375.84408
30988.50112,6104.506969,12.29225555,7843.101089,12285.87117,3468.806876,-2612.673684,11970.3839,3332.547514,-398.6189549,11023.3542,4120.690232,-8344.570432,6921.254537,-3775.287259,-13440.62219
30988.50296,6257.051347,-265.6636819,7755.61209,12257.92879,3476.622467,-2285.043167,12016.92086,3032.968667,-271.0633136,11184.85703,3950.267933,-8114.230048,6818.995212,-3509.579516,-13605.32204
30988.50752,6639.778157,-940.480992,7494.684219,12161.19343,3458.463922,-1472.482952,12107.30999,2270.126459,11.50196493,11555.02811,3492.492816,-7545.585274,6567.746996,-2824.214041,-13975.5788
30988.5153,7295.404624,-2021.49319,6913.417587,11909.52852,3303.93249,-112.6707787,12176.73174,928.0802237,372.6070154,12074.82094,2610.438314,-6603.19491,6155.821124,-1590.21696,-14469.4134
30988.52357,7987.004892,-3057.628081,6116.771461,11526.96848,2971.339579,1276.415706,12133.31624,-534.7601619,584.1361931,12466.20645,1546.279242,-5654.02983,5747.711902,-207.3172419,-14797.38706
30988.5319,8663.690884,-3962.794601,5144.291294,11029.29135,2468.056064,2588.654715,11968.09587,-2016.237754,613.7066146,12684.47681,364.4096262,-4771.708858,5375.533732,1231.565191,-14915.91466
30988.54023,9305.90398,-4712.554633,4018.940527,10426.64599,1806.369951,3788.647284,11682.39659,-3477.598648,459.4588474,12720.83239,-904.8030412,-3978.758928,5047.647183,2688.992891,-14819.028
30988.54857,9897.309906,-5292.563477,2763.001251,9728.606741,1001.723983,4851.11647,11279.13357,-4888.22063,126.1733081,12572.34709,-2233.775938,-3289.311434,4767.682378,4134.062511,-14507.66295
30988.5569,10421.88263,-5693.296729,1400.316229,8945.129138,72.9405589,5754.553434,10762.29457,-6219.572784,-376.8704682,12239.25176,-3594.03535,-2713.624033,4536.602938,5536.959185,-13986.93522
30988.56525,10863.93707,-5909.640873,-43.91980725,8086.496722,-958.1461821,6480.945307,10136.84305,-7445.115234,-1036.332935,11724.65797,-4956.388217,-2258.406999,4352.955308,6868.951809,-13265.75296
30988.57359,11208.31546,-5940.861334,-1543.030023,7163.541991,-2066.733694,7015.819991,9408.945219,-8540.305326,-1834.847838,11034.75009,-6290.952863,-1926.94515,4213.051494,8102.408537,-12356.95483
30988.58194,11441.05672,-5790.72656,-3070.294883,6186.952008,-3226.258868,7349.017036,8585.522323,-9483.890358,-2751.836886,10178.38725,-7568.671268,-1718.79796,4111.007433,9212.22952,-11276.61632
30988.5903,11549.57281,-5467.392817,-4598.530225,5167.72036,-4408.299727,7474.595562,7674.665243,-10257.68626,-3763.470706,9167.435988,-8761.118038,-1630.07391,4039.044888,10175.62662,-10044.33748
30988.59867,11523.16935,-4983.102671,-6101.657036,4116.348957,-5584.007459,7391.206118,6685.005528,-10847.6147,-4843.832862,8016.017139,-9842.003362,-1653.437264,3987.682237,10973.37952,-8682.142015
30988.60704,11353.25947,-4353.957757,-7554.489255,3043.188056,-6724.219606,7101.972496,5626.024582,-11243.56033,-5965.082416,6740.686949,-10787.16031,-1778.438859,3946.087923,11589.73439,-7214.562124
30988.61542,11033.80849,-3599.772519,-8933.021578,1958.526285,-7799.971526,6614.671443,4508.204625,-11439.69859,-7097.86836,5360.494438,-11575.05669,-1991.707689,3902.4205,12012.81445,-5668.505176
30988.6238,10561.53299,-2743.314712,-10215.61978,871.9722828,-8783.755423,5941.476144,3342.424971,-11434.86138,-8212.568617,3896.061698,-12187.79681,-2277.379812,3844.195312,12235.23665,-4072.021397
30988.6322,9936.116885,-1809.896542,-11383.05052,-207.349257,-9649.882239,5098.74328,2140.120728,-11232.43158,-9279.712475,2369.541372,-12611.28624,-2617.529375,3758.704185,12254.10097,-2454.1077
30988.64061,9160.301416,-826.7005113,-12418.93353,-1270.944412,-10375.17534,4106.60774,913.0791408,-10840.26213,-10270.76733,804.1183974,-12835.61845,-2992.687527,3633.425187,12071.07795,-844.0066414
30988.64902,8240.066359,177.7216543,-13309.8596,-2310.823391,-10939.41665,2988.694869,-326.4824018,-10270.54923,-11158.66379,-776.1485303,-12855.27984,-3382.322729,3456.459149,11692.39836,729.1209801
30988.65744,7184.53542,1174.268552,-14045.76368,-3319.672877,-11325.96368,1771.480759,-1566.201275,-9539.517529,-11918.59528,-2346.958788,-12669.35152,-3765.457019,3216.927804,11128.71426,2236.997321
30988.66588,6005.969939,2133.912844,-14619.97749,-4290.771801,-11522.11379,483.7900844,-2793.584994,-8667.079444,-12528.54302,-3884.063131,-12281.53791,-4121.218308,2905.377995,10394.87875,3652.651736
