MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.50043,9404.593716,4.03016076,5278.099916,12405.67735,-4.795240883,-291.1210497,12766.29382,-0.136002896,-2792.281379,11631.40741,-3.080054829,-8652.241892,8603.310556,1.226646491,-12825.39695
30988.50112,9450.394956,-82.73669386,5227.908028,12378.55628,-15.48118833,-184.8397048,12764.40713,-106.2113647,-2762.44978,11666.38101,-71.84142656,-8573.538731,8564.641644,98.40957818,-12860.11956
30988.50296,9570.294084,-308.8482051,5089.82895,12302.72398,-48.14682946,93.99800149,12755.111,-387.250482,-2688.296933,11753.35486,-256.7441488,-8366.621886,8462.506529,356.8923374,-12945.69484
30988.50752,9862.409537,-853.2578526,4710.891604,12087.20652,-157.5417747,777.2928035,12704.74492,-1093.327209,-2532.650771,11936.14277,-738.3884908,-7856.804153,8207.857691,1012.59713,-13120.37171
30988.5153,10333.92264,-1711.214155,3956.026432,11635.53287,-433.9564682,1894.351835,12530.0744,-2305.582862,-2364.836914,12133.57907,-1620.754424,-7013.783205,7776.563902,2158.78919,-13289.08591
30988.52357,10790.47342,-2515.130183,3014.130417,11044.4853,-846.6330116,2999.905335,12223.23751,-3588.51632,-2322.168801,12182.51857,-2629.74223,-6164.409179,7326.53413,3399.498533,-13287.97606
30988.5319,11192.56671,-3199.136507,1937.30775,10342.27254,-1376.084868,4007.70923,11791.31833,-4850.717083,-2419.049014,12061.96838,-3699.665686,-5370.795818,6887.181379,4648.608873,-13098.81149
30988.54023,11525.75711,-3747.704882,749.7216286,9541.308548,-2007.42236,4892.114992,11239.93581,-6060.784658,-2651.466038,11770.94502,-4802.832584,-4649.247415,6464.703164,5874.649363,-12723.79046
30988.54857,11778.54884,-4153.632693,-527.0497427,8652.187638,-2724.572145,5636.4176,10574.90763,-7195.383308,-3010.979062,11312.24501,-5915.529549,-4008.68052,6061.112818,7053.077779,-12169.49137
30988.5569,11940.27451,-4413.733277,-1870.81064,7685.662793,-3509.395224,6227.504154,9802.926221,-8233.637268,-3485.925653,10691.25149,-7014.190255,-3454.773892,5676.437322,8161.072437,-11445.70034
30988.56525,12001.12351,-4528.403834,-3258.79647,6652.715249,-4341.965466,6655.526075,8931.564665,-9156.919926,-4061.803052,9915.745281,-8075.446333,-2990.357849,5309.017242,9177.408137,-10565.12051
30988.57359,11952.39195,-4501.512856,-4667.482235,5564.877927,-5200.65467,6913.898454,7969.595125,-9948.810836,-4721.361134,8996.144396,-9076.155442,-2615.646008,4955.802992,10082.43739,-9543.526057
30988.58194,11786.79263,-4340.351815,-6073.889344,4433.452442,-6063.145116,6999.709726,6926.364532,-10596.01118,-5445.362943,7944.878077,-9994.570564,-2328.018188,4612.290683,10859.14123,-8398.926826
30988.5903,11498.75313,-4055.466292,-7455.113245,3270.085969,-6906.398545,6913.639491,5812.335982,-11088.12751,-6212.609894,6776.809859,-10810.19405,-2122.394861,4272.957212,11492.92901,-7151.901635
30988.59867,11084.52837,-3660.287123,-8789.692565,2085.883956,-7707.766514,6660.014452,4638.287337,-11418.32671,-7000.917547,5508.309584,-11504.85564,-1991.234585,3931.26001,11972.47909,-5824.450907
30988.60704,10542.46298,-3170.878555,-10057.32783,891.8375328,-8445.101789,6246.680882,3415.703249,-11583.16433,-7787.283568,4157.499695,-12062.68174,-1924.920969,3580.057453,12289.61126,-4440.132028
30988.61542,9873.342303,-2605.72097,-11239.08503,-301.0667131,-9097.20216,5685.058042,2156.913798,-11582.7692,-8548.285939,2744.27336,-12470.48115,-1912.013184,3211.951718,12439.55392,-3023.907817
30988.6238,9080.259961,-1985.035787,-12318.362,-1482.520073,-9644.695628,4989.725514,874.3853227,-11420.94465,-9261.028522,1289.327732,-12718.35817,-1939.557049,2819.420845,12421.2384,-1601.004968
30988.6322,8168.793691,-1330.404233,-13280.83028,-2642.660046,-10070.30996,4178.192324,-419.0943537,-11105.00524,-9903.485565,-185.8393373,-12799.78572,-1993.502494,2395.212777,12237.21535,-196.78224
