MSC.A1ModJulian	D3.Hellas_Planitia_GS.X	D3.Hellas_Planitia_GS.Y	D3.Hellas_Planitia_GS.Z	D3.Valles_Marineris_GS.X	D3.Valles_Marineris_GS.Y	D3.Valles_Marineris_GS.Z	D3.Schiaparelli_Crater_GS.X	D3.Schiaparelli_Crater_GS.Y	D3.Schiaparelli_Crater_GS.Z	D3.Mawrth_Vallis_GS.X	D3.Mawrth_Vallis_GS.Y	D3.Mawrth_Vallis_GS.Z	D3.Arcadia_Planitia_GS.X	D3.Arcadia_Planitia_GS.Y	D3.Arcadia_Planitia_GS.Z
30988.50043	6483.388839	-4734.611389	-2430.57644	3796.056908	-558.342506	3706.36242	5316.767462	-5764.531006	-1492.989231	6837.43471	-3722.75114	-1331.468329	1519.254202	5276.126949	-9303.547267
30988.50112	6459.887255	-4791.674209	-2557.245861	3674.121069	-592.6470482	3768.075318	5213.590923	-5860.390803	-1497.363394	6766.44252	-3800.312963	-1237.671181	1433.98706	5369.631478	-9241.579135
30988.50243	6411.491366	-4893.796849	-2797.562349	3441.669599	-658.8452764	3878.108578	5015.215593	-6036.544014	-1509.216017	6626.695745	-3944.818692	-1064.142673	1273.70615	5542.184878	-9118.865793
30988.50474	6312.705282	-5057.025624	-3226.999859	3022.567503	-780.4414413	4052.426405	4652.209655	-6333.2059	-1541.423372	6360.855605	-4194.509201	-767.8276912	991.7142851	5835.11462	-8883.299129
30988.50865	6107.558691	-5281.789278	-3960.591956	2295.036344	-996.3703817	4286.593641	4006.800003	-6788.103104	-1626.72345	5860.248774	-4595.824221	-299.7462408	521.1294525	6291.082394	-8434.518009
30988.51278	5837.364734	-5450.116126	-4742.204683	1502.299057	-1235.100244	4450.400855	3283.044747	-7202.470801	-1756.086884	5263.224407	-4987.68843	149.9886857	31.78367827	6716.114461	-7894.01305
30988.51695	5511.188679	-5547.131689	-5522.431776	690.3383443	-1479.226288	4525.762855	2520.826449	-7543.224289	-1921.82005	4600.438622	-5339.850309	551.5533372	-448.1215611	7076.656393	-7290.475452
30988.52112	5131.582179	-5572.887671	-6285.795179	-127.5863409	-1720.599269	4510.714812	1732.241198	-7802.623456	-2117.609536	3883.239445	-5642.68124	899.9882914	-913.1342758	7363.918422	-6635.699267
30988.52529	4700.738434	-5529.832767	-7020.980373	-942.0723552	-1952.154492	4405.967316	926.2851685	-7976.613838	-2337.016813	3121.131688	-5889.38806	1193.765143	-1360.668447	7572.651848	-5939.911333
30988.52946	4221.025145	-5421.527995	-7718.11722	-1744.926334	-2167.223798	4213.547904	111.0931839	-8062.749153	-2573.442874	2323.295331	-6074.366829	1432.709802	-1789.113451	7699.135392	-5213.074805
30988.53363	3695.3148	-5252.373459	-8367.942275	-2528.270165	-2359.352902	3936.571236	-705.2514055	-8059.714696	-2820.079305	1499.214368	-6192.809625	1617.42335	-2197.218517	7740.707509	-4465.425663
30988.5378	3127.098336	-5027.551843	-8961.737767	-3284.41251	-2522.359069	3579.240104	-1514.588902	-7967.32009	-3069.966978	658.767292	-6240.736394	1749.17893	-2583.960664	7695.773212	-3707.521173
30988.54197	2520.744833	-4753.085193	-9491.271706	-4005.653383	-2650.412256	3147.01714	-2308.450671	-7786.639659	-3316.017336	-187.5392012	-6215.127867	1829.87731	-2948.387566	7563.948115	-2950.409634
30988.54614	1880.804709	-4435.444102	-9949.567207	-4685.218845	-2738.322332	2646.101386	-3079.074259	-7519.855501	-3551.430782	-1029.673759	-6114.013447	1862.114741	-3290.023916	7345.984508	-2204.601038
30988.55031	1212.49143	-4081.631595	-10330.44404	-5316.632013	-2781.486049	2083.653706	-3818.742719	-7170.299428	-3769.59175	-1857.439677	-5936.462565	1848.986244	-3608.482274	7043.796581	-1480.612213
30988.55448	521.4508592	-3698.980439	-10628.7694	-5894.004492	-2776.01912	1467.562697	-4520.115255	-6742.355415	-3964.264516	-2660.86791	-5682.610245	1794.040162	-3903.547125	6660.403759	-788.5835461
30988.55865	-186.0282811	-3295.171387	-10840.42151	-6411.881452	-2718.844401	806.5637506	-5176.045628	-6241.564137	-4129.638462	-3430.046634	-5353.77345	1701.22015	-4175.031681	6200.044374	-138.3909025
30988.56283	-903.5743619	-2877.82009	-10962.51853	-6865.678678	-2607.734884	109.6527665	-5780.138089	-5674.207762	-4260.562906	-4155.806632	-4952.23501	1574.723226	-4422.944324	5667.814813	460.9697426
30988.56701	-1624.447551	-2454.540132	-10993.25918	-7251.397386	-2441.344536	-613.7450459	-6326.430334	-5047.409099	-4352.526393	-4829.406091	-4481.320932	1418.926032	-4647.293993	5069.765158	1001.129812
30988.57119	-2341.621378	-2032.815799	-10931.96075	-7565.677689	-2219.253505	-1353.9144	-6809.474999	-4369.034292	-4401.747145	-5442.660915	-3945.371754	1238.304307	-4848.070273	4412.82272	1474.482457
30988.57538	-3047.653935	-1620.000906	-10779.12734	-7805.769521	-1942.084734	-2100.767495	-7224.287543	-3647.803106	-4405.252827	-5987.901764	-3349.880042	1037.41081	-5025.169088	3704.91739	1874.185115
30988.57956	-3734.77084	-1223.192071	-10536.58152	-7969.657741	-1611.606074	-2843.96321	-7566.490398	-2893.246635	-4361.013671	-6458.163333	-2701.529539	820.8212284	-5178.396532	2954.967419	2194.359686
30988.58375	-4396.111042	-848.4486252	-10206.93932	-8056.282485	-1230.110876	-3574.322751	-7832.874994	-2114.252885	-4267.871444	-6848.008866	-2006.95647	592.6629449	-5307.685308	2171.437923	2430.650675
30988.58795	-5024.014915	-501.7336375	-9794.166692	-8065.08501	-801.2373316	-4282.02735	-8020.515913	-1320.890272	-4125.665781	-7152.348356	-1274.329322	357.0982212	-5412.66938	1364.158027	2579.423373
30988.59214	-5611.40413	-188.0836002	-9303.014942	-7996.2715	-329.274809	-4958.154968	-8127.405869	-522.8266723	-3935.136238	-7367.348489	-511.9896418	117.8376254	-5492.95054	542.7492758	2638.373153
30988.59635	-6151.137774	88.06079839	-8739.37364	-7850.74584	180.4266382	-5593.990143	-8152.216048	269.9133489	-3698.055311	-7490.086961	270.8486036	-121.6601858	-5547.957174	-282.6038162	2606.338858
30988.60055	-6636.497427	323.1403881	-8109.938736	-7630.10295	721.7860338	-6181.588156	-8094.431842	1047.579688	-3417.12693	-7518.786855	1064.674709	-358.3902761	-5577.010193	-1101.793351	2483.419647
30988.60476	-7061.173021	514.4715653	-7422.16865	-7336.588061	1288.013763	-6713.772184	-7954.313558	1800.711449	-3095.966397	-7452.777458	1859.703804	-589.8123319	-5579.306664	-1904.806354	2270.935493
30988.60898	-7419.296797	660.2622001	-6684.276617	-6973.108838	1871.627215	-7184.166054	-7732.916322	2520.16948	-2739.097224	-7292.518677	2645.905685	-813.8568085	-5553.930924	-2681.757428	1971.443755
30988.6132	-7705.538953	759.6514803	-5905.210374	-6543.271497	2464.496726	-7587.282184	-7432.147152	3197.224351	-2351.938833	-7039.668532	3413.085039	-1028.93738	-5499.889528	-3422.977908	1588.783674
30988.61743	-7915.309504	812.7683128	-5094.298591	-6051.22786	3058.148716	-7918.753716	-7054.682082	3823.910908	-1940.61526	-6697.021838	4151.278618	-1234.03854	-5416.127933	-4119.402323	1127.936595
