MSC.A1ModJulian,D4.Hellas_Planitia_GS.X,D4.Hellas_Planitia_GS.Y,D4.Hellas_Planitia_GS.Z,D4.Valles_Marineris_GS.X,D4.Valles_Marineris_GS.Y,D4.Valles_Marineris_GS.Z,D4.Schiaparelli_Crater_GS.X,D4.Schiaparelli_Crater_GS.Y,D4.Schiaparelli_Crater_GS.Z,D4.Mawrth_Vallis_GS.X,D4.Mawrth_Vallis_GS.Y,D4.Mawrth_Vallis_GS.Z,D4.Arcadia_Planitia_GS.X,D4.Arcadia_Planitia_GS.Y,D4.Arcadia_Planitia_GS.Z
30988.50043,1488.76465,4738.01685,2967.067031,6698.621546,554.2905552,-7875.894605,5473.091014,5764.416083,-4790.026316,2972.037361,3720.148511,-9903.134427,5725.177859,-5275.090438,-5457.311517
30988.50112,1589.186682,4648.272618,3008.274935,6773.905373,570.5102286,-7757.971025,5572.289523,5680.79503,-4735.218667,3101.486537,3681.362653,-9863.444741,5744.48903,-5204.159274,-5577.447073
30988.50243,1778.366411,4476.681374,3079.374922,6910.283317,598.3807906,-7532.334102,5754.77334,5517.90552,-4632.971921,3342.326726,3603.479294,-9784.590959,5777.598058,-5065.13059,-5800.746312
30988.50474,2112.433182,4165.926299,3183.915559,7133.664132,638.7497503,-7122.981653,6062.899898,5213.240788,-4455.953577,3757.735052,3450.449964,-9632.551441,5825.799755,-4802.384275,-6185.114675
30988.50865,2672.935353,3623.676629,3297.772548,7457.73787,679.586985,-6405.716476,6538.605832,4653.29293,-4170.781588,4425.012156,3148.322713,-9341.654219,5877.846152,-4311.790698,-6799.744578
30988.51278,3258.543802,3031.196237,3330.90875,7726.247703,683.0584757,-5616.43915,6978.185819,4002.103698,-3891.872469,5079.467013,2769.420879,-8990.669151,5894.150229,-3731.111071,-7397.752626
30988.51695,3833.525387,2425.229102,3272.083005,7915.974075,642.9267381,-4801.78965,7348.777494,3294.295969,-3641.012965,5675.189006,2330.102765,-8599.037484,5871.908581,-3089.824299,-7935.820509
30988.52112,4388.484622,1818.183769,3120.77337,8023.211703,557.5824018,-3976.807936,7643.446406,2542.037564,-3425.013156,6200.491195,1836.48193,-8175.039283,5812.822302,-2398.424718,-8402.568647
30988.52529,4916.95365,1219.405871,2878.563848,8047.041077,426.6889536,-3152.927481,7858.727726,1755.330589,-3248.304278,6648.206601,1294.201016,-7725.637165,5719.070533,-1665.766153,-8791.029676
30988.52946,5413.23274,637.086918,2548.229537,7987.683556,250.8275153,-2340.48764,7992.473364,943.7801945,-3114.113683,7012.895312,709.2445459,-7257.302746,5592.874076,-900.5594631,-9096.057923
30988.53363,5871.744187,78.87413159,2133.658778,7846.164965,31.49100279,-1549.559604,8043.338138,117.2626619,-3024.756431,7290.11476,88.32623464,-6776.352641,5436.437895,-111.9677664,-9313.66774
30988.5378,6286.980768,-448.0947843,1639.881201,7624.311762,-228.887674,-790.0083856,8010.76078,-714.0091965,-2981.631424,7476.388522,-561.0550961,-6288.971963,5251.94537,690.3286677,-9441.013305
30988.54197,6653.470232,-937.1256008,1073.283846,7324.905538,-526.8169482,-71.61274992,7895.08188,-1539.299547,-2985.161061,7569.289911,-1230.432134,-5801.322557,5041.629883,1495.938538,-9476.486695
30988.54614,6966.321983,-1382.663593,440.9212658,6951.36042,-858.1128471,596.9452703,7697.474722,-2348.468865,-3034.75118,7567.663376,-1911.253273,-5318.888433,4807.520874,2294.843434,-9419.859018
30988.55031,7220.924967,-1779.892949,-249.1443455,6507.87359,-1217.730621,1207.517851,7419.957082,-3131.370305,-3128.845192,7471.470025,-2594.424023,-4846.840815,4551.585099,3076.820015,-9272.163742
30988.55448,7413.148626,-2124.965357,-988.1310134,5999.286433,-1599.935236,1752.847965,7065.344318,-3878.265348,-3264.94728,7281.83649,-3270.656919,-4389.813037,4275.643487,3831.850461,-9035.707723
30988.55865,7539.357762,-2414.932624,-1766.38408,5431.22301,-1998.251424,2226.488927,6637.363699,-4579.701576,-3439.610978,7001.132243,-3930.368744,-3952.008249,3981.463633,4550.001816,-8714.142111
30988.56283,7596.598199,-2648.0097,-2574.060157,4809.635728,-2405.852138,2623.267133,6140.334204,-5227.174904,-3648.613388,6632.776089,-4564.311132,-3536.83018,3670.547873,5222.106864,-8312.211481
30988.56701,7582.534079,-2823.392684,-3400.90437,4140.971678,-2815.482519,2939.051366,5579.272836,-5812.855788,-3886.975265,6181.258117,-5163.362763,-3147.090514,3344.265795,5839.502115,-7835.775282
30988.57119,7495.520379,-2941.278351,-4236.404701,3432.097361,-3219.586488,3170.84093,4959.846931,-6329.731919,-4149.043638,5652.10007,-5718.692083,-2784.971301,3003.854677,6394.184407,-7291.737559
30988.57538,7334.715682,-3002.844756,-5069.697108,2690.444558,-3610.323012,3316.789201,4288.522154,-6771.602356,-4428.504493,5051.981559,-6221.76405,-2452.103191,2650.53397,6878.809413,-6688.141759
30988.57956,7100.242229,-3010.298548,-5889.705722,1923.994599,-3979.719141,3376.358029,3572.5889,-7133.276227,-4718.46841,4388.77901,-6664.552164,-2149.533282,2285.551412,7286.904343,-6034.158773
30988.58375,6792.748995,-2966.782004,-6686.688802,1139.858524,-4320.426872,3350.345223,2818.820534,-7411.194192,-5012.105367,3670.274767,-7040.375738,-1877.253825,1909.570776,7613.597323,-5338.789759
30988.58795,6414.011847,-2876.26572,-7450.237752,346.183104,-4624.885659,3240.681197,2035.2449,-7602.508593,-5302.019231,2905.757479,-7342.837561,-1635.030406,1523.642216,7854.602986,-4612.416961
30988.59214,5966.450262,-2743.454929,-8170.956581,-449.398487,-4886.135764,3050.460208,1229.679917,-7705.758179,-5580.928341,2104.616983,-7566.727686,-1421.880628,1128.526192,8007.012433,-3865.395946
