MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.50043,6848.19,1280.109556,673.1085562,7599.065345,-2077.412054,-1694.782183,7863.818836,-573.5441572,-5029.794755,6539.044592,-1635.509506,-7773.299914,6578.979092,990.9465234,-7896.699284
30988.50112,6901.630878,1177.583523,613.6665188,7566.493982,-2089.732872,-1569.52974,7860.990432,-698.5928725,-4994.359043,6579.834335,-1716.396995,-7680.056782,6532.781092,1105.448523,-7937.392127
30988.50243,6998.426726,985.4537104,496.7002969,7499.162017,-2114.353951,-1335.38319,7849.503881,-934.3954705,-4929.32373,6650.572853,-1869.793816,-7502.772053,6442.535842,1321.683208,-8008.545159
30988.50474,7156.889906,649.5395989,274.3129533,7361.229116,-2162.305871,-927.8538921,7809.554147,-1351.359063,-4820.00593,6755.945488,-2143.804031,-7184.621129,6272.9559,1705.06296,-8116.561871
30988.50865,7386.27053,96.18343331,-144.2153904,7074.897795,-2255.476734,-262.0325526,7685.607793,-2051.795708,-4652.643151,6875.969173,-2611.996121,-6636.556376,5959.022785,2351.992126,-8246.612415
30988.51278,7574.909853,-467.214234,-643.0930915,6700.481336,-2369.665515,407.7837828,7477.784349,-2783.435187,-4499.692916,6922.991772,-3111.599296,-6044.892427,5590.645698,3031.628069,-8311.988194
30988.51695,7705.416424,-1004.583532,-1196.641379,6253.91405,-2498.393979,1037.24393,7191.273829,-3500.232857,-4371.918673,6886.566879,-3611.614824,-5444.166921,5186.202505,3701.362104,-8302.217754
30988.52112,7774.091087,-1507.302805,-1795.231536,5741.924183,-2638.214638,1615.231482,6829.956801,-4189.365835,-4270.435692,6766.673679,-4102.381637,-4843.728242,4751.241438,4348.949458,-8217.408904
30988.52529,7779.087827,-1970.436674,-2430.684752,5170.544943,-2785.658351,2134.947611,6398.012717,-4842.062742,-4194.74028,6565.139844,-4576.596048,-4249.738726,4289.766667,4965.758159,-8059.59002
30988.52946,7719.276463,-2390.503909,-3095.017287,4545.810297,-2937.005398,2591.206629,5899.97534,-5450.918831,-4143.509125,6284.746488,-5027.597327,-3667.202024,3805.252935,5544.318818,-7831.805901
30988.53363,7594.043284,-2764.820848,-3779.931826,3874.149175,-3088.209174,2979.682112,5340.942511,-6009.097666,-4114.818887,5929.14178,-5448.85278,-3100.639069,3301.071729,6077.594178,-7537.997889
30988.5378,7403.33214,-3091.416043,-4476.760327,3162.471719,-3234.930195,3296.846521,4726.647933,-6510.26936,-4106.203414,5502.8688,-5833.942885,-2554.194123,2780.591268,6558.931804,-7183.005915
30988.54197,7147.818179,-3368.965391,-5176.291696,2418.420917,-3372.563766,3539.973167,4063.707709,-6948.56539,-4114.689336,5011.561865,-6176.552161,-2031.794333,2247.382774,6982.030108,-6772.711279
30988.54614,6828.679249,-3597.148354,-5869.706195,1649.451959,-3496.496173,3707.509097,3358.820169,-7319.217239,-4136.860297,4461.359423,-6471.003205,-1536.499831,1704.596656,7341.567678,-6313.519865
30988.55031,6447.772025,-3776.329391,-6548.063384,863.3937483,-3602.059697,3798.796912,2619.24738,-7618.161431,-4168.93978,3859.208992,-6711.997407,-1070.987976,1155.423144,7632.840218,-5812.587341
30988.55448,6007.557918,-3907.62456,-7202.645665,68.1298298,-3684.667085,3814.164507,1852.530923,-7842.24177,-4206.870244,3212.631495,-6894.817449,-637.3761506,602.9133495,7851.972137,-5277.592974
30988.55865,5511.268141,-3992.818891,-7824.838754,-728.1915833,-3739.87649,3754.919369,1066.697871,-7989.180194,-4246.384435,2529.871664,-7015.350872,-237.3804433,50.17883509,7995.905484,-4716.831344
30988.56283,4962.550933,-4034.391351,-8406.705003,-1517.815241,-3763.530961,3623.305844,269.6173898,-8057.73782,-4283.123154,1819.316599,-7070.271608,127.9719719,-500.0086348,8062.575909,-4138.69989
30988.56701,4365.650637,-4035.369684,-8940.737989,-2293.052282,-3751.787069,3422.428365,-530.6975552,-8047.581977,-4312.703506,1089.7081,-7056.98008,458.0885002,-1044.935371,8050.800523,-3551.845273
30988.57119,3725.376388,-3999.275623,-9419.979615,-3046.376873,-3701.198905,3156.215424,-1326.188654,-7959.306051,-4330.806113,350.0264558,-6973.667369,752.8027525,-1581.95865,7960.314981,-2965.036278
30988.57538,3047.270003,-3930.079714,-9838.000833,-3770.297749,-3608.826578,2829.467814,-2108.611513,-7794.483389,-4333.263938,-390.4042094,-6819.41465,1012.276469,-2108.354472,7791.846619,-2387.209373
30988.57956,2337.634197,-3832.165799,-10189.06911,-4457.459706,-3472.375128,2447.881006,-2869.623187,-7555.760977,-4316.179169,-1122.015881,-6594.334937,1237.00415,-2621.314005,7547.230125,-1827.339447
30988.58375,1602.23603,-3710.043776,-10468.75956,-5101.854022,-3289.984694,2017.252747,-3602.148505,-7246.341359,-4275.965245,-1836.359042,-6299.1386,1428.116614,-3118.800375,7228.896553,-1293.371236
30988.58795,848.0862496,-3568.504871,-10673.06839,-5697.072193,-3060.617223,1544.364662,-4298.464291,-6870.524171,-4209.459486,-2524.301386,-5935.692247,1586.733535,-3598.200019,6840.446016,-793.5718657
30988.59214,82.01094242,-3412.333784,-10799.08078,-6237.641225,-2783.806638,1036.131518,-4951.702169,-6433.149106,-4113.94386,-3177.513638,-5506.536417,1714.322467,-4057.284591,6386.092699,-335.3750445
30988.59635,-688.5699387,-3246.364888,-10844.72309,-6718.362876,-2459.921068,500.007818,-5555.102001,-5939.908906,-3987.26893,-3787.773359,-5015.232833,1812.443061,-4493.646502,5871.004785,74.13260172
30988.60055,-1456.185603,-3075.304239,-10808.91107,-7134.727471,-2090.039252,-56.41470205,-6102.511067,-5397.034474,-3827.867798,-4347.492253,-4466.102785,1882.792225,-4904.993007,5300.994787,428.6191475
30988.60476,-2213.279742,-2903.661696,-10691.50462,-7482.844245,-1675.978874,-625.4539702,-6588.32562,-4811.247002,-3634.802444,-4849.692822,-3864.216852,1927.11925,-5289.065334,4682.483336,722.5051893
30988.60898,-2952.191163,-2735.691125,-10493.31548,-7759.422809,-1220.344547,-1199.374514,-7007.479074,-4189.737821,-3407.822592,-5288.024815,-3215.413132,1947.167441,-5643.586645,4022.492244,950.9992407
30988.6132,-3665.186859,-2575.324321,-10216.14797,-7961.810918,-726.5695687,-1770.450276,-7355.491101,-3540.135365,-3147.425818,-5656.839732,-2526.304036,1944.635144,-5966.250216,3328.624626,1110.178856
30988.61743,-4344.785146,-2426.044339,-9862.705086,-8088.099086,-198.7408103,-2331.260691,-7628.644151,-2870.197684,-2854.797838,-5951.399912,-1803.986779,1921.134051,-6254.836825,2608.749976,1197.118363
30988.62166,-4983.647303,-2290.865181,-9436.61044,-8137.065434,358.3147284,-2874.644837,-7823.915578,-2187.872828,-2531.878702,-6167.828293,-1056.132875,1878.143341,-6507.130698,1871.078031,1209.878108
30988.62589,-5574.671148,-2172.272263,-8942.407241,-8108.221013,939.0521723,-3393.800197,-7939.045058,-1501.211784,-2181.376091,-6303.194607,-290.9232631,1816.983895,-6720.944327,1124.075901,1147.573875
30988.63013,-6111.217785,-2072.146383,-8385.414266,-8001.826884,1537.386941,-3882.496887,-7972.607565,-818.1140145,-1806.67667,-6355.608207,483.2120864,1738.779445,-6894.190803,376.1997844,1010.403789
30988.63438,-6587.156595,-1991.739759,-7771.655846,-7818.864409,2146.750986,-4335.136443,-7924.000255,-146.2471747,-1411.816375,-6324.214369,1257.67634,1644.429455,-7024.882243,-364.1896857,799.6300856
