AS1.A1ModJulian,AS1.Hellas_Planitia_GS.X,AS1.Valles_Marineris_GS.X,AS1.Schiaparelli_Crater_GS.X,AS1.Mawrth_Vallis_GS.X,AS1.Arcadia_Planitia_GS.X,AS1.Hellas_Planitia_GS.Y,AS1.Hellas_Planitia_GS.Z,AS1.Valles_Marineris_GS.Y,AS1.Valles_Marineris_GS.Z,AS1.Schiaparelli_Crater_GS.Y,AS1.Schiaparelli_Crater_GS.Z,AS1.Mawrth_Vallis_GS.Y,AS1.Mawrth_Vallis_GS.Z,AS1.Arcadia_Planitia_GS.Y,AS1.Arcadia_Planitia_GS.Z
21545,5330.270281,2814.400297,940.6788143,-7711.700081,-7711.700081,18651.79539,-9135.472474,-16614.60316,-14581.39795,4707.646501,-23042.76142,-7641.147909,-20467.25101,-7641.147909,-20467.25101
21545.00069,5331.349148,2814.038089,940.6829277,-7711.444564,-7711.444564,18651.12452,-9136.661329,-16615.59663,-14580.0162,4705.954841,-23043.16844,-7642.759492,-20466.64693,-7642.759492,-20466.64693
21545.00266,5334.401232,2813.017816,940.6954462,-7710.730305,-7710.730305,18649.24771,-9140.024456,-16618.41836,-14576.12453,4701.181689,-23044.33682,-7647.318338,-20464.95726,-7647.318338,-20464.95726
21545.0066,5340.558912,2810.979032,940.7246395,-7709.327614,-7709.327614,18645.55523,-9146.809195,-16624.16155,-14568.35,4691.607526,-23046.76965,-7656.51472,-20461.63414,-7656.51472,-20461.63414
21545.01405,5352.250083,2807.17946,940.7943606,-7706.803616,-7706.803616,18638.88594,-9159.689175,-16635.24807,-14553.86867,4673.632352,-23051.66302,-7673.970771,-20455.63643,-7673.970771,-20455.63643
21545.02224,5365.189757,2803.081374,940.8930261,-7704.219321,-7704.219321,18632.01759,-9173.94197,-16647.79262,-14538.26125,4654.042247,-23057.49136,-7693.284184,-20449.46674,-7693.284184,-20449.46674
21545.03053,5378.318973,2799.036962,941.0159398,-7701.81898,-7701.81898,18625.59265,-9188.400723,-16660.81147,-14522.87086,4634.48815,-23063.84226,-7712.873306,-20443.70338,-7712.873306,-20443.70338
21545.03884,5391.480974,2795.096771,941.1620969,-7699.635619,-7699.635619,18619.69856,-9202.892729,-16674.15491,-14507.89006,4615.209914,-23070.64851,-7732.504098,-20438.42495,-7732.504098,-20438.42495
21545.04714,5404.628587,2791.275425,941.3310832,-7697.678001,-7697.678001,18614.35878,-9217.366015,-16687.77635,-14493.37446,4596.278027,-23077.88758,-7752.106155,-20433.65252,-7752.106155,-20433.65252
21545.05546,5417.731633,2787.582086,941.5225987,-7695.951347,-7695.951347,18609.58737,-9231.787335,-16701.64548,-14479.35886,4577.737032,-23085.54431,-7771.634448,-20429.39869,-7771.634448,-20429.39869
21545.06378,5430.753549,2784.027489,941.7362032,-7694.461274,-7694.461274,18605.39963,-9246.116419,-16715.72464,-14465.88399,4559.639852,-23093.5989,-7791.034446,-20425.67716,-7791.034446,-20425.67716
21545.07211,5443.660875,2780.621179,941.9714387,-7693.212383,-7693.212383,18601.80825,-9260.316422,-16729.97869,-14452.98607,4542.03414,-23102.03221,-7810.256263,-20422.49923,-7810.256263,-20422.49923
21545.08045,5456.424741,2777.371273,942.2278867,-7692.208403,-7692.208403,18598.82357,-9274.355556,-16744.37696,-14440.69583,4524.960656,-23110.82723,-7829.256864,-20419.87415,-7829.256864,-20419.87415
21545.0888,5469.013719,2774.286389,942.5050458,-7691.452984,-7691.452984,18596.45585,-9288.199224,-16758.88554,-14429.04594,4508.463177,-23119.96462,-7847.989415,-20417.81102,-7847.989415,-20417.81102
21545.09717,5481.393539,2771.375575,942.802298,-7690.949423,-7690.949423,18594.71461,-9301.809712,-16773.46657,-14418.0706,4492.588438,-23129.42198,-7866.402872,-20416.31827,-7866.402872,-20416.31827
