AS1.A1ModJulian           AS1.Hellas_Planitia_GS.X   AS1.Valles_Marineris_GS.X   AS1.Schiaparelli_Crater_GS.X   AS1.Mawrth_Vallis_GS.X    AS1.Arcadia_Planitia_GS.X   AS1.Hellas_Planitia_GS.Y   AS1.Hellas_Planitia_GS.Z   AS1.Valles_Marineris_GS.Y   AS1.Valles_Marineris_GS.Z   AS1.Schiaparelli_Crater_GS.Y   AS1.Schiaparelli_Crater_GS.Z   AS1.Mawrth_Vallis_GS.Y    AS1.Mawrth_Vallis_GS.Z    AS1.Arcadia_Planitia_GS.Y   AS1.Arcadia_Planitia_GS.Z   
21545.00000039794         5330.270280906393          2814.400297137153           940.6788143235054              -7711.700080793586        -7711.700080793586          18651.79538738076          -9135.472474316108         -16614.60316020512          -14581.39794752871          4707.646500994167              -23042.76142347333             -7641.14790892527         -20467.25100804538        -7641.14790892527           -20467.25100804538          
21545.00069484238         5331.349148216645          2814.038089403448           940.6829277303351              -7711.444563883726        -7711.444563883726          18651.12451632438          -9136.661328629405         -16615.59662573859          -14580.01619897942          4705.95484054356               -23043.16844345114             -7642.759492414981        -20466.64693269686        -7642.759492414981          -20466.64693269686          
21545.00265623659         5334.401232489931          2813.017816130692           940.695446158839               -7710.730305436514        -7710.730305436514          18649.24770984338          -9140.024455878061         -16618.41836457204          -14576.12453118391          4701.181688775441              -23044.33682324514             -7647.318338145447        -20464.95725634904        -7647.318338145447          -20464.95725634904          
21545.0066001969          5340.558912047401          2810.979031687358           940.7246394653715              -7709.327614388653        -7709.327614388653          18645.5552345084           -9146.809195061789         -16624.16154690192          -14568.3500027419           4691.607525879864              -23046.76964672714             -7656.514719811102        -20461.63414035986        -7656.514719811102          -20461.63414035986          
21545.01404749798         5352.250082843878          2807.179459750056           940.7943606482827              -7706.803615941466        -7706.803615941466          18638.88594096508          -9159.689175358682         -16635.24807134402          -14553.86866746128          4673.632352454361              -23051.66302208957             -7673.970770788006        -20455.63642753833        -7673.970770788006          -20455.63642753833          
21545.02224437489         5365.189757059518          2803.081373536967           940.8930261137364              -7704.219321021798        -7704.219321021798          18632.01759482442          -9173.941970493219         -16647.79261555046          -14538.26124560332          4654.042247240434              -23057.49136315324             -7693.284183610865        -20449.46674184327        -7693.284183610865          -20449.46674184327          
21545.03053332426         5378.318972941614          2799.036961563079           941.0159398266815              -7701.818980029517        -7701.818980029517          18625.59265140599          -9188.400723230787         -16660.81146521563          -14522.87085822514          4634.488149914218              -23063.84226139553             -7712.873305964778        -20443.70337592567        -7712.873305964778          -20443.70337592567          
21545.03883616529         5391.480974206535          2795.096771174733           941.1620969285727              -7699.635618956459        -7699.635618956459          18619.69856117199          -9202.892728613362         -16674.15490604979          -14507.89006107927          4615.209913898991              -23070.64851227008             -7732.504097501161        -20438.42495237449        -7732.504097501161          -20438.42495237449          
21545.04714456566         5404.62858663115           2791.275424644685           941.3310831507183              -7697.678000629034        -7697.678000629034          18614.35877622106          -9217.366015187337         -16687.77634502744          -14493.37445739274          4596.278027024471              -23077.88758284277             -7752.106154862022        -20433.65251926425        -7752.106154862022          -20433.65251926425          
21545.05546095964         5417.73163262267           2787.582086316136           941.5225987118529              -7695.951347339324        -7695.951347339324          18609.58736852531          -9231.787334902101         -16701.64547540453          -14479.35885599743          4577.737032138737              -23085.54430791195             -7771.634448223343        -20429.3986934141         -7771.634448223343          -20429.3986934141           
21545.06378375224         5430.753548621617          2784.027488746722           941.7362032222645              -7694.461273795596        -7694.461273795596          18605.39963200501          -9246.116418542984         -16715.72464271614          -14465.88399213712          4559.639852352824              -23093.59890463585             -7791.034446114614        -20425.6771568121         -7791.034446114614          -20425.6771568121           
21545.07211324922         5443.660874590703          2780.62117924955            941.97143874623                -7693.212383103871        -7693.212383103871          18601.80825000008          -9260.316421613126         -16729.97868755373          -14452.98606837534          4542.034139539208              -23102.03221458132             -7810.256262921238        -20422.49923198816        -7810.256262921238          -20422.49923198816          
21545.08045261405         5456.424741254074          2777.371272642006           942.2278867116356              -7692.208402739017        -7692.208402739017          18598.82357078038          -9274.355555581635         -16744.37695533627          -14440.69583336507          4524.960655828268              -23110.8272287001              -7829.25686366131         -20419.87414537002        -7829.25686366131           -20419.87414537002          
21545.08880339612         5469.013719446965          2774.286388901578           942.5050458004262              -7691.4529835669          -7691.4529835669            18596.45585353512          -9288.199223601136         -16758.88553884299          -14429.0459364471           4508.463177092455              -23119.96462323463             -7847.989414500467        -20417.81102099863        -7847.989414500467          -20417.81102099863          
21545.09716508182         5481.393539315034          2771.375574934629           942.8022979903899              -7690.949422555154        -7690.949422555154          18594.71460512377          -9301.809712069409         -16773.46657007748          -14418.07060172374          4492.588437710859              -23129.4219787508              -7866.402871922902        -20416.31827367301        -7866.402871922902          -20416.31827367301          
21545.10553974576         5493.534106626184          2768.646599790593           943.1190657153093              -7690.700270957033        -7690.700270957033          18593.60733152914          -9315.153906221614         -16788.08634464727          -14407.79919321155          4477.376978071314              -23139.17893012955             -7884.452422376567        -20415.40252384407        -7884.452422376567          -20415.40252384407          
21545.11392586865         5505.40043088578           2766.10804990171            943.4545855401911              -7690.707633595664        -7690.707633595664          18593.14063993701          -9328.193319249638         -16802.70454516512          -14398.26411466226          4462.874672910526              -23149.21009737716             -7902.085992868064        -20415.0695322322         -7902.085992868064          -20415.0695322322           
21545.12232535278         5516.962832672078          2763.767025767878           943.8081722403867              -7690.972943887665        -7690.972943887665          18593.31926819648          -9340.895312625449         -16817.28651231942          -14389.49214118068          4449.119918296012              -23159.49325744203             -7919.259427096737        -20415.32339348775        -7919.259427096737          -20415.32339348775          
21545.13073852879         5528.189968469043          2761.63067954192            944.1790325276452              -7691.497040189211        -7691.497040189211          18594.14656312576          -9353.225426700674         -16831.79475886817          -14381.51019183819          4436.152279374734              -23170.00361003316             -7935.926115323085        -20416.16691920698        -7935.926115323085          -20416.16691920698          
21545.13916524626         5539.050460209408          2759.705811801222           944.5662986749212              -7692.280066986487        -7692.280066986487          18595.62416629412          -9365.14917566745          -16846.19084536347          -14374.34381486797          4424.010348613271              -23180.71495558962             -7952.039421034528        -20417.60136295413        -7952.039421034528          -20417.60136295413          
21545.14760529453         5549.51363661831           2757.998695615353           944.9690461601331              -7693.321440293459        -7693.321440293459          18597.75190014275          -9376.632862199172         -16860.43624790931          -14368.01652244619          4412.730789681225              -23191.60025362265             -7967.553783723983        -20419.62632227988        -7967.553783723983          -20419.62632227988          
21545.15605811366         5559.549351285232          2756.515076329759           945.3862812033458              -7694.61976940428         -7694.61976940428           18600.52758453677          -9387.643377562777         -16874.49203156342          -14362.54978115792          4402.348447271754              -23202.63131531565             -7982.424450112721        -20422.23956997821        -7982.424450112721          -20422.23956997821          
21545.16452280034         5569.128139577748          2755.260113170272           945.8169397093297              -7696.172810442079        -7696.172810442079          18603.94691521389          -9398.14837565006          -16888.31898283411          -14357.96279100872          4392.896086151841              -23213.77884395861             -7996.607709776763        -20425.43694415119        -7996.607709776763          -20425.43694415119          
21545.1730006823          5578.224089536203          2754.238039541822           946.2600234161619              -7697.978004016777        -7697.978004016777          18608.00466474445          -9408.119420954123         -16901.88184788322          -14354.27125492808          4384.401662591553              -23225.01591771082             -8010.065143840862        -20429.21346716898        -8010.065143840862          -20429.21346716898          
21545.18149002572         5586.809144250408          2753.452844317186           946.7143316839629              -7700.0314199801          -7700.0314199801            18612.69232937656          -9417.525739732371         -16915.14093646198          -14351.48984606215          4376.8937583071                -23236.31110138584             -8022.75519149099         -20433.56115283236        -8022.75519149099           -20433.56115283236          
21545.18999059663         5594.858231738747          2752.907623188712           947.1786957627592              -7702.328639307176        -7702.328639307176          18618.00008008688          -9426.339847354719         -16928.05959212693          -14349.62984888181          4370.39658825695               -23247.63451374204             -8034.640745616538        -20438.47082761301        -8034.640745616538          -20438.47082761301          
21545.19849995137         5602.345802779142          2752.604832671721           947.6517838548989              -7704.863800310444        -7704.863800310444          18623.91456633292          -9434.533754925536         -16940.59868084599          -14348.70003078553          4364.932847772488              -23258.95302588314             -8045.684038095274        -20443.93009852881        -8045.684038095274          -20443.93009852881          
21545.2070202997          5609.25195604029           2752.546027756334           948.132484589305               -7707.631646330923        -7707.631646330923          18630.42368848577          -9442.08567356501          -16952.72681373617          -14348.70582730185          4360.51920342926               -23270.23946771446             -8055.855675190501        -20449.92775859607        -8055.855675190501          -20449.92775859607          
