AS2.A1ModJulian,AS2.Hellas_Planitia_GS.X,AS2.Hellas_Planitia_GS.Y,AS2.Hellas_Planitia_GS.Z,AS2.Valles_Marineris_GS.X,AS2.Valles_Marineris_GS.Y,AS2.Valles_Marineris_GS.Z,AS2.Schiaparelli_Crater_GS.X,AS2.Schiaparelli_Crater_GS.Y,AS2.Schiaparelli_Crater_GS.Z,AS2.Mawrth_Vallis_GS.X,AS2.Mawrth_Vallis_GS.Y,AS2.Mawrth_Vallis_GS.Z,AS2.Arcadia_Planitia_GS.X,AS2.Arcadia_Planitia_GS.Y,AS2.Arcadia_Planitia_GS.Z
21545,1788.916778,-20439.17699,-5309.767187,-4523.716451,8785.708897,14680.48027,-713.4054513,-14172.87733,11541.5002,8371.331535,-2796.553572,15213.93909,-13050.68704,10630.7555,-15304.04335
21545.00069,1789.975343,-20439.41643,-5310.892402,-4523.954807,8784.534654,14681.48443,-713.3581507,-14174.26537,11540.78247,8371.435801,-2798.10059,15214.13876,-13050.37984,10632.26559,-15303.78015
21545.00256,1792.835776,-20440.04246,-5313.932904,-4524.594557,8781.350378,14684.18068,-713.2295064,-14178.00367,11538.82615,8371.708937,-2802.280689,15214.65915,-13049.53554,10636.33761,-15303.05598
21545.0068,1799.367437,-20441.3593,-5320.875571,-4526.03216,8774.01881,14690.24522,-712.9313022,-14186.47325,11534.26824,8372.286439,-2811.824555,15215.74469,-13047.5315,10645.59031,-15301.33296
21545.01442,1811.330774,-20443.37977,-5333.591103,-4528.584521,8760.380413,14701.03263,-712.3696437,-14201.75452,11525.60477,8373.183693,-2829.300894,15217.37593,-13043.59641,10662.37909,-15297.93587
21545.02264,1824.470378,-20445.04363,-5347.555995,-4531.2733,8745.103245,14712.42624,-711.7308103,-14218.20984,11515.64232,8373.941518,-2848.489687,15218.66115,-13038.89921,10680.59394,-15293.8626
21545.03094,1837.949006,-20446.17722,-5361.880301,-4533.913209,8729.124482,14723.64472,-711.052826,-14234.75066,11504.96123,8374.483903,-2868.167517,15219.45675,-13033.69351,10699.04684,-15289.33101
21545.03924,1851.639989,-20446.7608,-5376.429374,-4536.477553,8712.589423,14734.57518,-710.3416933,-14251.21615,11493.65455,8374.802033,-2888.149351,15219.74696,-13028.02208,10717.56069,-15284.37812
21545.04755,1865.497499,-20446.79009,-5391.154495,-4538.957255,8695.552175,14745.17914,-709.5996888,-14267.54981,11481.75827,8374.893898,-2908.368267,15219.52869,-13021.90232,10736.07257,-15279.01907
21545.05587,1879.485181,-20446.26343,-5406.017013,-4541.345472,8678.0566,14755.42747,-708.828687,-14283.70785,11469.30233,8374.758621,-2928.771191,15218.80105,-13015.34921,10754.53327,-15273.26696
