AS2.A1ModJulian	AS2.Hellas_Planitia_GS.X	AS2.Hellas_Planitia_GS.Y	AS2.Hellas_Planitia_GS.Z	AS2.Valles_Marineris_GS.X	AS2.Valles_Marineris_GS.Y	AS2.Valles_Marineris_GS.Z	AS2.Schiaparelli_Crater_GS.X	AS2.Schiaparelli_Crater_GS.Y	AS2.Schiaparelli_Crater_GS.Z	AS2.Mawrth_Vallis_GS.X	AS2.Mawrth_Vallis_GS.Y	AS2.Mawrth_Vallis_GS.Z	AS2.Arcadia_Planitia_GS.X	AS2.Arcadia_Planitia_GS.Y	AS2.Arcadia_Planitia_GS.Z
21545	1788.916778	-20439.17699	-5309.767187	-4523.716451	8785.708897	14680.48027	-713.4054513	-14172.87733	11541.5002	8371.331535	-2796.553572	15213.93909	8371.331535	-2796.553572	15213.93909
21545.00069	1789.975343	-20439.41643	-5310.892402	-4523.954807	8784.534654	14681.48443	-713.3581507	-14174.26537	11540.78247	8371.435801	-2798.100589	15214.13876	8371.435801	-2798.100589	15214.13876
21545.00266	1792.977057	-20440.07259	-5314.083078	-4524.625992	8781.192677	14684.3132	-713.2231213	-14178.18784	11538.72888	8371.722103	-2802.487142	15214.68413	8371.722103	-2802.487142	15214.68413
21545.0066	1799.06454	-20441.30165	-5320.55362	-4525.966196	8774.36063	14689.96678	-712.9452657	-14186.0825	11534.48236	8372.261056	-2811.382007	15215.69746	8372.261056	-2811.382007	15215.69746
21545.01405	1810.736635	-20443.29103	-5332.959626	-4528.460155	8761.063964	14700.50639	-712.3979962	-14201.00247	11526.04437	8373.143889	-2828.433084	15217.3055	8373.143889	-2828.433084	15217.3055
21545.02224	1823.826577	-20444.97518	-5346.871779	-4531.144255	8745.858791	14711.87869	-711.7626284	-14217.41131	11516.14098	8373.909746	-2847.549633	15218.6101	8373.909746	-2847.549633	15218.6101
21545.03053	1837.289863	-20446.13487	-5361.179823	-4533.78681	8729.912905	14723.10681	-711.0864991	-14233.9495	11505.4941	8374.462743	-2867.205355	15219.42978	8374.462743	-2867.205355	15219.42978
21545.03884	1850.969148	-20446.74521	-5375.716509	-4536.354586	8713.406593	14734.05024	-710.3770521	-14250.41705	11494.21903	8374.791775	-2887.170404	15219.7446	8374.791775	-2887.170404	15219.7446
21545.04714	1864.815995	-20446.80159	-5390.430343	-4538.837974	8696.396996	14744.66823	-709.6366924	-14266.75418	11482.35374	8374.894684	-2907.37405	15219.55122	8374.894684	-2907.37405	15219.55122
21545.05546	1878.798926	-20446.30211	-5405.287858	-4541.230952	8678.921844	14754.93518	-708.8670219	-14282.92271	11469.92377	8374.770521	-2927.770331	15218.84846	8374.770521	-2927.770331	15218.84846
21545.06378	1892.879296	-20445.24638	-5420.247972	-4543.526525	8661.028489	14764.82127	-708.0700857	-14298.87688	11456.96207	8374.418911	-2948.302848	15217.63663	8374.418911	-2948.302848	15217.63663
21545.07211	1907.021258	-20443.6355	-5435.272576	-4545.71851	8642.761656	14774.30002	-707.247839	-14314.57512	11443.50036	8373.840114	-2968.919295	15215.91737	8373.840114	-2968.919295	15215.91737
21545.08045	1921.193452	-20441.47122	-5450.328331	-4547.801654	8624.160877	14783.34891	-706.4020193	-14329.98155	11429.56703	8373.034674	-2989.573923	15213.69283	8373.034674	-2989.573923	15213.69283
21545.0888	1935.36165	-20438.75653	-5465.378852	-4549.770453	8605.269897	14791.94427	-705.5345698	-14345.05761	11415.19395	8372.003638	-3010.216809	15210.96634	8372.003638	-3010.216809	15210.96634
21545.09717	1949.487829	-20435.49648	-5480.383727	-4551.619144	8586.138218	14800.06119	-704.6477165	-14359.76152	11400.41789	8370.74886	-3030.792516	15207.74316	8370.74886	-3030.792516	15207.74316
21545.10554	1963.53813	-20431.69655	-5495.306966	-4553.3428	8566.810456	14807.67829	-703.7434792	-14374.05662	11385.2724	8369.272405	-3051.251689	15204.02888	8369.272405	-3051.251689	15204.02888
21545.11393	1977.472614	-20427.3652	-5510.106125	-4554.936026	8547.340319	14814.77201	-702.8243232	-14387.90091	11369.79867	8367.577528	-3071.53613	15199.83193	8367.577528	-3071.53613	15199.83193
21545.12233	1991.25715	-20422.51076	-5524.744933	-4556.394432	8527.774275	14821.32309	-701.892397	-14401.25909	11354.03275	8365.667451	-3091.596117	15195.1605	8365.667451	-3091.596117	15195.1605
21545.13074	2004.854921	-20417.14368	-5539.184267	-4557.713593	8508.163256	14827.312	-700.9500778	-14414.09401	11338.01476	8363.546264	-3111.378031	15190.02477	8363.546264	-3111.378031	15190.02477
21545.13917	2018.228558	-20411.27626	-5553.384423	-4558.889359	8488.559843	14832.72024	-699.9998449	-14426.36891	11321.78673	8361.218796	-3130.827468	15184.43661	8361.218796	-3130.827468	15184.43661
21545.14761	2031.340928	-20404.92237	-5567.30595	-4559.917954	8469.017186	14837.53082	-699.0442297	-14438.04828	11305.39178	8358.69053	-3149.890385	15178.40932	8358.69053	-3149.890385	15178.40932
21545.15606	2044.154772	-20398.09773	-5580.90927	-4560.795961	8449.589575	14841.72816	-698.0858435	-14449.09755	11288.87464	8355.967708	-3168.512578	15171.95791	8355.967708	-3168.512578	15171.95791
21545.16452	2056.632952	-20390.81995	-5594.154936	-4561.520376	8430.332163	14845.29831	-697.1273672	-14459.48338	11272.28144	8353.05734	-3186.640039	15165.09907	8353.05734	-3186.640039	15165.09907
21545.173	2068.742292	-20383.10615	-5607.007712	-4562.0888	8411.294961	14848.22995	-696.171251	-14469.17685	11255.65449	8349.966258	-3204.224537	15157.84902	8349.966258	-3204.224537	15157.84902
21545.18149	2080.445888	-20374.97758	-5619.428412	-4562.499024	8392.534785	14850.5123	-695.2203095	-14478.14706	11239.04267	8346.702968	-3221.21245	15150.22777	8346.702968	-3221.21245	15150.22777
21545.18999	2091.710026	-20366.45559	-5631.381238	-4562.749432	8374.104581	14852.13709	-694.2771924	-14486.36695	11222.49217	8343.276031	-3237.554807	15142.25541	8343.276031	-3237.554807	15142.25541
21545.1985	2102.499234	-20357.56521	-5642.828536	-4562.838849	8356.061415	14853.09771	-693.3447897	-14493.80955	11206.05365	8339.6955	-3253.200118	15133.95537	8339.6955	-3253.200118	15133.95537
21545.20702	2112.785204	-20348.32786	-5653.740258	-4562.766647	8338.451625	14853.3901	-692.4254672	-14500.45421	11189.76873	8335.970003	-3268.107307	15125.34771	8335.970003	-3268.107307	15125.34771
21545.21555	2122.533808	-20338.77235	-5664.08019	-4562.532674	8321.332646	14853.01177	-691.5221954	-14506.27778	11173.68994	8332.111145	-3282.226888	15116.45929	8332.111145	-3282.226888	15116.45929
21545.22408	2131.716829	-20328.92483	-5673.818392	-4562.137295	8304.753234	14851.96258	-690.6375256	-14511.26251	11157.86263	8328.129488	-3295.517969	15107.31448	8328.129488	-3295.517969	15107.31448
21545.23263	2140.307088	-20318.81295	-5682.926035	-4561.581366	8288.761654	14850.24441	-689.7740141	-14515.39277	11142.33243	8324.0362	-3307.941194	15097.93897	8324.0362	-3307.941194	15097.93897
