RGT_1.A1ModJulian,RGT_1.Hellas_Planitia_GS.X,RGT_1.Hellas_Planitia_GS.Y,RGT_1.Hellas_Planitia_GS.Z,RGT_1.Valles_Marineris_GS.X,RGT_1.Valles_Marineris_GS.Y,RGT_1.Valles_Marineris_GS.Z,RGT_1.Schiaparelli_Crater_GS.X,RGT_1.Schiaparelli_Crater_GS.Y,RGT_1.Schiaparelli_Crater_GS.Z,RGT_1.Mawrth_Vallis_GS.X,RGT_1.Mawrth_Vallis_GS.Y,RGT_1.Mawrth_Vallis_GS.Z,RGT_1.Arcadia_Planitia_GS.X,RGT_1.Arcadia_Planitia_GS.Y,RGT_1.Arcadia_Planitia_GS.Z
21545,3368.355927,11758.2642,-7014.559927,1778.048939,-10473.99939,-10447.74201,593.7852768,2967.743863,-15781.86933,-4867.606622,-4817.050263,-14158.22928,-4867.606622,-4817.050263,-14158.22928
21545.00069,3388.440503,11737.03533,-7064.53372,1748.504466,-10505.03567,-10408.81505,575.2168533,2914.596777,-15795.3614,-4876.573046,-4867.571727,-14131.4222,-4876.573046,-4867.571727,-14131.4222
21545.00266,3444.812262,11675.81654,-7205.277744,1664.882594,-10591.56532,-10298.11546,522.7208139,2764.176698,-15832.13587,-4901.366764,-5009.740232,-14054.56009,-4901.366764,-5009.740232,-14054.56009
21545.0066,3556.612596,11547.11468,-7486.36504,1496.068546,-10760.47055,-10072.18098,417.0413931,2460.391063,-15900.10423,-4948.75939,-5293.201649,-13894.94457,-4948.75939,-5293.201649,-13894.94457
21545.01405,3762.346475,11283.91793,-8009.258927,1175.756264,-11060.61635,-9633.627082,217.8473407,1882.457939,-16006.55616,-5028.645215,-5819.212889,-13575.65252,-5028.645215,-5819.212889,-13575.65252
21545.02224,3981.28272,10964.34357,-8570.948242,822.8357388,-11362.05074,-9133.486955,0.904013562,1241.011767,-16090.44976,-5100.688876,-6383.198071,-13198.44415,-5100.688876,-6383.198071,-13198.44415
21545.03053,4195.497429,10610.24265,-9121.763904,468.0959165,-11635.49782,-8609.979892,-213.7709121,588.202602,-16139.72618,-5154.928828,-6936.320696,-12791.27503,-5154.928828,-6936.320696,-12791.27503
21545.03884,4403.676145,10225.45751,-9653.728903,117.5248836,-11877.33055,-8068.683645,-421.77284,-68.25454861,-16153.28894,-5188.859379,-7471.796449,-12359.41953,-5188.859379,-7471.796449,-12359.41953
21545.04714,4606.408281,9811.515503,-10163.88928,-225.9676893,-12086.87824,-7511.176215,-620.6569902,-726.0307416,-16131.20965,-5200.878219,-7987.842796,-11905.25696,-5200.878219,-7987.842796,-11905.25696
21545.05546,4804.514599,9369.609301,-10650.11545,-560.0186152,-12263.93332,-6938.459384,-808.3594941,-1383.6098,-16073.75844,-5189.603958,-8483.442577,-11430.70788,-5189.603958,-8483.442577,-11430.70788
