RGT_3.A1ModJulian         RGT_3.Hellas_Planitia_GS.X   RGT_3.Hellas_Planitia_GS.Y   RGT_3.Hellas_Planitia_GS.Z   RGT_3.Valles_Marineris_GS.X   RGT_3.Valles_Marineris_GS.Y   RGT_3.Valles_Marineris_GS.Z   RGT_3.Schiaparelli_Crater_GS.X   RGT_3.Schiaparelli_Crater_GS.Y   RGT_3.Schiaparelli_Crater_GS.Z   RGT_3.Mawrth_Vallis_GS.X   RGT_3.Mawrth_Vallis_GS.Y   RGT_3.Mawrth_Vallis_GS.Z   RGT_3.Arcadia_Planitia_GS.X   RGT_3.Arcadia_Planitia_GS.Y   RGT_3.Arcadia_Planitia_GS.Z   
21545.00000039794         -8566.074109623474           -1611.301784354159           5887.064630099008            1332.363201306647             11532.11370215037             -8670.051960201732            -416.4069526950452               9253.973791230068                5362.649009328436                694.6925684217931          12631.24385650707          -1819.441211692353         694.6925684217931             12631.24385650707             -1819.441211692353            
21545.00069484238         -8570.839172793378           -1555.441157829592           5892.187457802629            1344.715641616949             11508.00046543441             -8719.401000899903            -414.472266442639                9292.611165152755                5321.749509220479                671.7460834904241          12638.76625783408          -1870.296212355856         671.7460834904241             12638.76625783408             -1870.296212355856            
21545.00265623659         -8583.42613281382            -1397.514371297845           5905.714263183157            1379.46777811934              11438.72988915961             -8858.239584179606            -408.9658341227587               9400.79390310383                 5205.351698471024                606.867762951857           12658.73066026256          -2014.082519428497         606.867762951857              12658.73066026256             -2014.082519428497            
21545.0066001969          -8604.832839268396           -1079.355619820809           5928.694662992077            1448.719436978216             11294.27082866518             -9134.911094406942            -397.7082957446291               9614.043622521051                4967.424898815789                476.1418911086257          12693.13319481629          -2303.80402196813          476.1418911086257             12693.13319481629             -2303.80402196813             
21545.01404749798         -8631.001787170191           -477.0335129957738           5956.681907808072            1577.062563326635             11002.95814108782             -9647.673203071474            -375.7984855762088               10000.69734949284                4504.522235474091                228.578000944457           12737.12234929051          -2852.472496232027         228.578000944457              12737.12234929051             -2852.472496232027            
21545.02224437489         -8638.218789226214           186.8385963218375            5964.156196471778            1714.363920962865             10655.02066435403             -10196.23676101208            -350.7483391937267               10401.16629820096                3975.531461532049                -44.40362656324123         12753.7650065598           -3457.483389234733         -44.40362656324123            12753.7650065598              -3457.483389234733            
21545.03053332426         -8622.525154681067           857.3130367836               5946.868473795088            1848.615024027216             10275.08389429388             -10732.61892226668            -324.4895066112567               10778.31176429477                3421.31769236439                 -320.2258131612843         12736.73631181382          -4068.804316232694         -320.2258131612843            12736.73631181382             -4068.804316232694            
21545.03883616529         -8583.716191810903           1526.138241454634            5904.604059887572            1978.089074030657             9867.331252505322             -11249.9136392065             -297.3269119746901               11127.02098863615                2848.357274009607                -595.4946297998968         12685.66193384082          -4678.917467361462         -595.4946297998968            12685.66193384082             -4678.917467361462            
21545.04714456566         -8521.918333636044           2190.730911658799            5837.503258338705            2102.28330036643              9433.310018884324             -11746.1054096412             -269.3629002014695               11445.92065488778                2258.843977250393                -869.1454918497484         12600.70637218645          -5285.467274346252         -869.1454918497484            12600.70637218645             -5285.467274346252            
21545.05546095964         -8437.303565069584           2849.396903412205            5745.755044752175            2220.885631426971             8974.145952807561             -12219.94096122008            -240.6678421622237               11734.21637988513                1654.294185236275                -1140.479309601134         12482.10916359165          -5886.907997884342         -1140.479309601134            12482.10916359165             -5886.907997884342            
21545.06378375224         -8330.150475682129           3500.149995619076            5629.663583661808            2333.544561795869             8491.254116161914             -12670.00988752154            -211.3278173143435               11991.06792987493                1036.55229486542                 -1408.676390144441         12330.26403476844          -6481.42627491427          -1408.676390144441            12330.26403476844             -6481.42627491427             
21545.07211324922         -8200.795638594833           4141.194145484608            5489.595424859142            2439.958524165453             7986.019219986296             -13095.10179917782            -181.4241837330137               12215.81612045464                407.3596466174347                -1672.995049056608         12145.65167097143          -7067.381296025839         -1672.995049056608            12145.65167097143             -7067.381296025839            
